date,特锐德,乐普医疗,安科生物,豆神教育,华测检测,亿纬锂能,爱尔眼科,网宿科技,机器人,红日药业,同花顺,数知科技,蓝色光标,东方财富,碧水源,三聚环保,当升科技,思创医惠,长信科技,高新兴,顺网科技,长盈精密,智飞生物,汇川技术,华策影视,信维通信,沃森生物,宋城演艺,汤臣倍健,东方国信,万达信息,华峰超纤,捷成股份,美亚柏科,欣旺达,易华录,北京君正,上海钢联,迪安诊断,光线传媒,卫宁健康,华宇软件,阳光电源,国瓷材料,博雅生物,利亚德,中际旭创,掌趣科技,晶盛机电,旋极信息,泰格医药,我武生物,绿盟科技,光环新网,三环集团,芒果超媒,昆仑万维,蓝思科技,先导智能,创业慧康,深信服,赢合科技,金科文化,迈克生物,景嘉微,胜宏科技,万孚生物,中科创达,温氏股份,健帆生物,贝达药业,精测电子,欧普康视,康泰生物,尚品宅配,寒锐钴业,亿联网络,普利制药,开立医疗,圣邦股份,江丰电子,宇信科技,华大基因,朗新科技,光威复材,捷佳伟创,华宝股份,锐科激光,金力永磁,宁德时代,康龙化成,迈瑞医疗,立华股份,每日互动,迪普科技,新媒股份,拉卡拉,三角防务,卓胜微,三只松鼠
2019-12-26,5.268545,-8.530155000000004,-9.336454999999999,17.373645,0.5763449999999999,8.329444999999998,-13.748755,2.4902450000000003,-1.2830549999999996,-7.224355000000001,12.314645000000002,2.007145,-1.832455,5.150245,-7.172955000000001,-4.172254999999999,20.841244999999997,-7.408255000000002,21.40304500000001,-1.0075550000000022,15.324644999999997,13.752945000000004,4.172445000000001,2.559045,11.086445000000001,7.039644999999999,-0.36305499999999835,6.277245,-1.2704550000000006,8.555445,-11.130654999999999,-6.6266549999999995,-2.0612549999999996,5.136044999999999,6.191044999999999,3.155645,32.288045,-10.937754999999997,-10.836955,12.220345000000004,-8.103955,6.598045000000002,-1.1180550000000002,-1.2585550000000005,-0.1791550000000014,21.191245000000002,11.033344999999999,14.413645,13.273645000000002,3.666545,-8.613254999999999,-15.602955000000001,2.1781449999999998,-2.411654999999999,14.638745,5.326844999999997,14.242844999999997,3.542045000000001,12.712645000000002,2.8685449999999997,-5.603355,13.389645,6.756744999999996,-10.065055,-3.281355000000003,9.750945,-1.779654999999999,1.4954450000000001,-16.865655,-10.553255,-14.982955,36.328945,-14.214455,4.204345,3.122045000000001,8.353145,0.5169450000000002,-18.077855,5.060945,20.740445,13.112945000000002,6.174945000000002,2.632144999999998,7.678945,14.423845,6.616245000000001,-1.7608549999999994,-0.7600550000000006,-9.361854999999998,12.197345000000002,-0.7087549999999994,-10.518654999999999,-9.405655,2.5055449999999992,4.074045,-1.2421549999999995,20.559545,-6.463155,-6.140955000000001,6.978144999999999
2019-12-27,3.2173190000000003,-6.4029810000000005,-6.997981,12.748918999999997,2.581418999999998,3.5553189999999963,-9.412681000000003,1.382319,-2.402681,-8.345880999999999,8.876818999999998,0.703219,3.6463189999999988,2.6411189999999998,-6.652981000000001,-1.2652810000000003,17.694319,-11.560581,17.043619000000007,2.5058189999999985,13.748719,8.938718999999999,3.8609190000000004,5.722519,13.281319000000002,7.791718999999999,-0.652280999999999,6.617519000000001,5.214319000000001,2.5079189999999993,-9.051881,-5.011481,-3.4010810000000005,4.233019,5.166119000000002,2.557019000000001,27.639518999999996,-8.575681,-9.999081000000002,9.618619000000004,-9.513681000000002,2.2382190000000017,-3.266181,-2.0624810000000005,-2.0034810000000016,15.022419,6.374318999999998,11.897719,9.850819000000001,1.6331190000000002,-8.652681000000001,-11.613581,0.9514189999999998,-4.081080999999999,9.558819000000003,4.997118999999997,11.168918999999999,0.5045190000000004,13.927119000000001,-0.5354810000000008,-5.692981,10.626119000000001,3.0104189999999997,-5.825080999999999,-1.921081000000002,5.953618999999999,-0.6697809999999996,-4.393981,-13.734281000000003,-6.775181,-6.061281000000002,28.186719,-9.192281000000001,7.995619,3.1176189999999995,13.765718999999997,-0.181581,-15.805781,6.452919,14.186819000000002,11.129519000000002,3.9909190000000025,4.461418999999999,5.000519,13.832818999999997,5.9022190000000005,-1.0481809999999991,-2.3792810000000006,-4.396280999999998,12.243119,4.982919000000001,-8.310381,-5.424381,1.0077190000000007,3.6987190000000014,3.627918999999997,28.148319,-1.9866810000000001,-4.579281,7.424718999999997
2019-12-30,3.367747,-6.601753000000002,-7.862853,15.048246999999998,5.416847,3.220846999999996,-10.254952999999999,-0.20195300000000005,-2.824953,-5.2922530000000005,13.329346999999999,-1.9967530000000007,0.3101469999999994,6.052047000000001,-3.911753,0.7278470000000001,20.429147,-17.721053,17.864047000000003,3.608146999999999,8.975947000000001,4.995647000000002,2.972047000000002,8.876947,7.765246999999999,7.855746999999999,-0.8211529999999989,4.8639470000000005,5.470846999999999,2.371946999999999,-11.654053000000001,-4.304752999999999,-2.3627530000000005,3.7725469999999994,6.4154469999999995,1.8752470000000017,21.986347,-10.177052999999999,-3.568053000000001,9.925947,-10.358453,0.36664700000000194,-5.885952999999999,-1.4667530000000009,-5.860953000000002,18.147947,9.746446999999996,5.373647,7.082247,2.3389470000000006,-5.450153,-11.488252999999998,-2.152253000000001,-0.636952999999999,4.431247000000001,5.1762469999999965,9.385246999999998,-0.8798529999999993,11.705947000000002,-1.8255530000000018,-5.481252999999999,10.929047,5.357246999999996,-4.893352999999999,-11.689653000000002,5.028946999999999,-1.7552529999999993,-5.546653000000001,-15.813453,-3.5685529999999996,-6.744453000000002,25.555346999999998,-9.552653,5.248646999999998,4.904647000000001,15.929646999999997,-3.415753,-17.343653,2.3714470000000003,5.364646999999998,5.718647000000001,3.255347000000002,5.621746999999999,2.9860469999999992,12.134046999999999,1.560047,0.42834700000000026,5.969246999999999,-1.8138529999999982,17.160847,3.6243469999999993,-8.170853,-4.880452999999999,-1.2231529999999995,2.7882470000000006,6.495147,36.673647,-4.527053,-5.297053,11.507646999999999
2019-12-31,2.933178999999999,-1.5590210000000013,-5.474621,16.056879,3.4599789999999992,-1.8678210000000024,-8.970121000000002,-1.5404210000000003,-2.465321,-3.6429209999999994,12.322779,-3.3745210000000005,-1.8918210000000015,5.044779,-4.272521000000001,2.964978999999999,19.071578999999996,-14.988720999999996,18.654779,3.404978999999998,7.276979000000002,2.054579000000002,5.959679000000001,3.4817789999999995,11.043478999999998,6.049778999999998,0.655679000000001,3.303779,4.539679000000001,0.6385789999999998,-8.676321,-6.296021,-1.5342209999999998,1.254378999999999,2.0284789999999986,1.1191789999999997,17.303179000000004,-6.509521000000001,-1.5736210000000004,10.202379000000002,-8.184521,-1.5763209999999983,-9.455421000000001,-2.7016210000000007,-6.389121000000001,15.355378999999996,8.907779000000001,4.465878999999999,6.434479000000001,2.9208790000000002,-3.8146210000000007,-8.157221,-3.6534210000000003,-1.5969209999999991,3.056579000000001,4.716878999999997,9.913678999999998,-1.443321,12.509778999999996,-1.063921000000001,-5.081021,16.031879,6.003978999999996,-4.935421,-16.226821,3.5117789999999998,2.6557789999999986,-6.028321000000001,-13.561621000000002,2.924079,-4.670321,23.786278999999993,-9.270221000000003,2.510779000000001,2.6016789999999994,17.962179000000003,-2.808621,-9.334621000000002,5.2988789999999995,-3.7250210000000035,4.279479,4.812079000000002,8.320478999999999,3.4740789999999993,9.291878999999998,-0.3878209999999997,-0.14192099999999963,8.535178999999998,-8.869420999999999,14.602079000000003,3.999579,-5.961021,-3.394920999999999,-4.797021,1.1639790000000003,6.270979,42.411279,-8.644921,-11.826321,5.046578999999998
2020-01-02,4.2117070000000005,-3.406893000000002,-7.3678930000000005,11.188706999999999,1.580107,-3.9953930000000017,-11.043993,0.13360700000000003,-2.1227929999999997,-5.959293000000001,14.461407,6.021507,4.476507,4.133007000000001,-0.049193000000000264,2.0512070000000007,18.482307000000002,-14.758493000000001,24.635107,3.5938069999999978,17.309407,6.540807000000002,4.205407000000001,2.0800069999999993,19.639506999999995,8.086406999999998,-6.840992999999999,6.493207,1.5361070000000003,5.493607,-13.775293000000001,-11.277893,2.2218069999999983,2.7815069999999995,3.1833069999999988,1.7417070000000003,18.990107000000002,-6.327692999999999,-0.954293000000001,12.557407000000001,-9.665192999999997,2.0551070000000022,-8.361893000000004,-2.540893000000001,-7.0625930000000015,16.717107000000002,11.370707,9.179207,7.044706999999999,4.507507,-8.756293000000001,-12.358992999999998,-4.903993000000001,0.5262070000000008,5.759207000000001,11.842106999999995,14.637007,4.228907000000001,11.238607,-6.7759930000000015,-4.607092999999999,12.868907000000002,7.978106999999998,-9.308593000000002,-17.982393000000002,9.183907000000001,2.739807,-4.613993000000001,-10.628693,-0.2051930000000004,-8.437293,13.945806999999997,-12.399592999999998,-1.0848930000000006,3.9740070000000007,12.754407,-3.369093000000001,-12.076493,3.9614069999999995,-2.014993000000002,2.820606999999999,7.397107000000003,5.382606999999998,4.738506999999999,7.018307,0.7836069999999999,-1.4327929999999998,10.527306999999999,-16.428393,13.286107000000001,-3.252293,-9.484293000000001,-1.9613930000000002,3.550806999999999,1.0550070000000003,15.548606999999997,43.087307,-6.573193000000002,-13.317293,11.308906999999998
2020-01-03,4.245216,-3.192184000000001,-6.592784,14.144815999999999,-0.9101840000000012,-5.709384000000002,-10.314984,1.3310159999999998,-1.9704839999999995,-4.875684,9.980116000000002,16.799816,15.630816,4.448116000000001,3.3067159999999998,8.510615999999999,17.144616,-13.710083999999998,22.959316,6.991715999999998,20.219816,-2.4465839999999988,5.528016000000001,4.007615999999999,25.292116,1.226116,-10.735683999999997,4.921916,12.735616,6.069016000000001,-11.836584,-11.185884000000001,5.468216,4.119516,2.231215999999999,0.712816000000001,14.095116,-4.827084,-2.1156840000000017,11.728816,-9.459083999999999,-0.3612839999999977,-7.4629840000000005,-1.6463840000000012,-1.6546840000000005,16.886016,8.717916,7.902816000000001,7.945016,5.9398159999999995,-9.832484,-12.924984,-5.300884,-1.815383999999999,9.792516,15.496315999999997,15.497116,3.287616000000001,9.644516,-9.703584,-4.668784,13.594316000000001,9.798915999999998,-8.099984,-17.390484,11.050016,3.565615999999999,-9.730984000000003,-8.467684,-3.449784,-11.227284000000001,9.717415999999998,-12.497384,-7.055784,5.448015999999999,18.112016,-10.383284,-11.576184000000003,2.1022160000000003,-5.659884000000002,2.856815999999999,7.7506160000000035,6.406715999999999,5.457115999999999,5.663015999999999,10.091615999999998,0.07491600000000026,7.479515999999999,-11.234384,11.036316000000001,-8.699684,-9.419383999999999,-3.198584,6.537915999999999,2.391316000000001,14.434715999999996,40.993716000000006,-1.930784,-15.535984000000001,9.713016
2020-01-06,6.261381999999999,-4.879918000000002,-6.506918000000001,12.445382,-2.1876180000000014,-1.2375180000000023,-14.281418,1.9275819999999995,-1.1328179999999997,-4.894418,10.469682,15.999182,22.778181999999997,4.936282,2.8763820000000004,8.001482000000001,20.588882,-10.430018000000002,31.100682000000003,6.291281999999998,19.602982,-0.3960179999999991,13.571582000000003,2.444381999999999,20.226581999999997,-1.2475180000000001,-12.610617999999999,7.627782000000001,4.354782000000001,9.788382000000002,-9.157618,-11.363318000000001,8.124182,6.9551820000000015,3.2444819999999988,0.2750820000000007,2.873982000000001,-0.5514179999999991,0.726381999999999,10.375582,-6.059418000000001,1.0606820000000021,-3.354617999999999,-8.597918,-6.085118000000001,15.196382000000003,7.197882,0.4529820000000011,9.468582000000001,7.553282000000001,-9.989318,-16.704718,-6.282718000000001,-0.8817179999999991,6.250082000000001,11.327081999999997,12.172982,6.291482,9.335581999999999,-8.727218,-6.447118,15.046282,7.103181999999998,-4.702518,-19.498518,15.825982,1.9343819999999994,-5.521618000000001,-5.051318000000003,-6.9952179999999995,-15.170718,8.230081999999998,-14.477318,-9.668818000000002,4.166181999999999,22.362482,-11.067818,-13.659618000000002,-3.445918,-12.628917999999999,1.1259819999999996,3.7378820000000035,3.9717819999999975,1.7661819999999993,6.176081999999999,17.424582,-0.4873180000000006,4.335082,-7.413818,9.219982,-10.093018,-12.632518,-4.6217179999999995,8.019382,-2.5885179999999997,15.477282000000002,27.744582,0.8901820000000007,-16.404118,10.294782
2020-01-07,-1.2582800000000005,0.0013199999999979894,-6.917779999999999,10.70962,-5.297980000000001,-5.092880000000001,-11.544880000000001,1.8897199999999996,-2.5756799999999993,-3.86158,7.91992,14.579319999999997,21.26082,3.59042,-1.9871800000000002,7.18392,19.904019999999996,-11.32048,25.260120000000004,-2.99338,20.187019999999997,0.32592000000000154,11.471820000000003,0.19391999999999854,16.259919999999997,-3.58568,-9.94568,3.943320000000001,2.7139200000000026,9.53942,-10.08138,-13.030280000000001,14.15082,4.096720000000001,1.5787199999999997,0.5088200000000005,-1.7608799999999976,-3.4758799999999996,0.17541999999999836,8.86312,-7.0770800000000005,-2.632379999999998,-4.4112800000000005,-2.78188,-5.725580000000002,15.65162,6.2018200000000006,7.397920000000001,9.230619999999998,4.318619999999999,-7.465880000000001,-12.614180000000001,-3.08258,-3.8160799999999995,3.890620000000002,14.467619999999997,17.42912,4.43072,3.217719999999999,-8.465880000000002,-7.08098,10.508020000000004,14.56042,-2.1404799999999997,-19.172780000000003,11.954020000000002,3.758119999999999,-5.949580000000003,0.23702000000000023,-5.24418,-7.033179999999999,7.788119999999998,-8.203179999999998,-5.950480000000001,0.30942000000000025,20.379820000000002,-10.42748,-13.12248,-7.06118,-17.336380000000002,0.49861999999999873,9.593720000000003,2.8749199999999995,2.733419999999999,3.2482199999999986,25.275119999999998,-2.0024800000000003,2.0918199999999985,-12.250379999999998,6.6755200000000015,-9.15738,-10.145679999999999,-3.5588799999999994,6.377319999999999,-3.42188,15.268120000000001,27.77232,-2.2927799999999996,-21.498279999999998,8.40652
2020-01-08,4.214725999999999,-4.488874000000001,-5.713174,6.628026000000002,-5.275074,-4.120974000000001,-10.750274000000003,-0.14897399999999994,-2.3975739999999988,-3.742173999999999,4.1824259999999995,11.048225999999996,23.132525999999995,1.5330259999999996,-2.351274,4.630526,26.442126,-7.931973999999999,15.464726000000006,-4.049674,18.790725999999996,-5.543673999999999,10.694826000000003,5.503425999999998,12.655025999999998,-7.318674,-12.031873999999998,4.586426,4.555026000000002,8.347326000000002,-12.627374,-11.357774000000003,20.089626,5.093726000000001,3.2704259999999987,-0.18817400000000006,-8.588973999999999,4.623726000000001,3.4142259999999993,2.1686259999999993,-7.550874,-6.056173999999999,-2.3858740000000003,-4.685374,-6.004074000000001,16.795426000000003,5.409926000000001,6.079026000000001,9.066226,5.133826000000001,-3.1585740000000007,-14.007474,-3.0390740000000007,-5.198173999999999,2.746326000000002,10.791825999999997,15.880626000000003,1.0729260000000003,4.771725999999999,-6.489074,-4.575573999999999,12.847126000000001,10.888225999999998,-5.228974,-26.319874,13.132026000000002,5.464325999999999,-7.730474000000002,3.3831260000000003,-4.383574,-11.874574,8.004026,-10.457574,-9.129874000000001,1.8395259999999993,19.587226,-9.785174,-11.451374,-8.400473999999999,-12.232374,3.020226000000001,21.724726000000004,1.6911260000000008,1.288626,0.5950259999999998,29.524426,-0.9322740000000005,2.718326,-13.587673999999998,9.558426,-7.329574000000001,-7.371074,-3.3765739999999997,5.7007259999999995,-4.881274,16.147326,25.855226,11.187325999999999,-12.337473999999998,8.967526
2020-01-09,-0.35481999999999925,-0.0958200000000009,-4.31812,2.9918799999999983,-3.124420000000001,0.9053799999999983,-7.516120000000001,2.2652799999999997,-3.0676199999999993,-6.232819999999999,1.5696800000000013,12.550579999999993,18.285179999999997,1.2901800000000003,-4.910119999999999,5.9974799999999995,30.880179999999996,-6.704620000000001,14.460880000000003,-4.466520000000001,18.33458,-2.6187199999999997,8.57128,1.447579999999999,12.038379999999998,-5.40662,-16.49992,3.4981799999999996,3.800580000000003,6.882280000000002,-9.707719999999998,-11.396620000000002,14.081279999999996,3.52658,9.022879999999999,-2.5497199999999998,-7.570719999999999,-0.6690199999999993,-1.1944200000000014,1.9440800000000005,-6.311919999999999,-5.272019999999999,-3.6820200000000014,-7.082920000000001,-8.53942,13.51428,7.165279999999999,1.4135800000000005,7.597679999999999,5.85238,-3.175019999999999,-12.52292,-2.59272,-3.787819999999999,1.1693800000000008,8.456479999999997,15.50308,4.658580000000001,4.61008,-7.242719999999999,-5.11712,11.27128,11.100979999999998,-0.30371999999999844,-23.566119999999998,13.28298,7.36738,-6.313820000000001,1.4514799999999988,-3.6220199999999996,-10.490820000000001,8.997079999999999,-11.425220000000001,-9.09112,-1.1054199999999996,18.648880000000002,-7.656719999999998,-9.56392,-10.25992,-11.866119999999999,-0.002820000000002043,19.126880000000003,-0.8071199999999994,-0.34162000000000114,-0.9332200000000013,22.576879999999996,-4.15792,2.2098799999999987,-15.271019999999998,12.860880000000002,-5.267819999999999,-4.407620000000001,-2.6188199999999995,7.568079999999998,-3.18142,17.045679999999997,22.769179999999995,2.7395799999999992,-15.25762,5.92588
2020-01-10,-2.598601000000001,1.1308989999999997,-3.835301,-8.547201,-3.5772010000000014,3.3784989999999984,-5.445901000000001,-0.8220010000000001,-4.102200999999999,-5.566901,3.3014990000000006,8.016399,17.946899,2.541199,-0.28790099999999974,5.227599,28.690998999999994,-3.5003010000000003,15.359099000000002,-4.635401000000002,19.267899,-3.654800999999999,7.395999000000001,-0.6821010000000006,4.472098999999999,-9.408600999999999,-13.420701,3.161999,5.2069990000000015,7.041399000000002,-8.544201000000001,-9.646601,16.239698999999998,5.813098999999999,12.020698999999997,-1.2668009999999994,-9.855700999999998,1.8090990000000007,-1.542901000000001,1.4464989999999993,-4.154201000000001,-2.354401,-5.409201000000001,-7.140501000000003,-9.861501,15.442299000000004,-0.11040100000000086,2.221199000000001,4.491399,3.162099000000001,-2.544300999999999,-9.689901,-5.025900999999999,-2.522900999999999,-3.0051010000000007,9.663598999999996,12.723799,5.909599,7.259898999999996,-8.040701,-0.2194009999999995,10.671699,12.275098999999997,-0.550801,-20.499901000000005,11.510499000000001,8.252598999999998,-6.495601000000001,-1.397701000000001,-4.534401000000001,-11.389901000000002,2.731098999999998,-9.076501,-10.653001,0.42269899999999905,20.283799,-6.920100999999999,-3.845300999999999,-9.671700999999999,-6.2549009999999985,-7.691101,21.684299000000003,1.992698999999999,-0.9503010000000004,-0.3568010000000012,27.522499,-3.9312010000000006,2.8585989999999994,-18.687101,13.974199,-4.662501,-6.173001000000001,-4.5498009999999995,9.842998999999997,-3.4620010000000003,19.418099000000005,24.424199,-0.4320010000000041,-12.332600999999999,5.666999000000001
2020-01-13,7.210596000000001,1.3818959999999998,-4.424604,-12.355504,-4.941304000000001,-4.414704000000003,-7.871704000000001,-0.16430400000000012,-3.662604,-4.905504,-4.882704000000002,10.004695999999997,18.111995999999998,-3.109604,3.2360960000000003,4.633596,27.768695999999995,-4.975304,18.867996000000005,-4.265404000000001,21.152896,-8.803003999999998,6.973996,-0.15860400000000097,6.547995999999998,-4.224404,-12.982503999999997,2.088596,5.492496000000003,3.7505960000000007,-9.006804,-7.779504000000001,14.665795999999997,8.179196000000001,10.194695999999999,-0.1464039999999982,-6.852003999999994,2.6238960000000002,-1.309304000000001,2.313996000000001,-5.606204,-0.6891040000000006,-4.216004000000001,-4.0137040000000015,-10.703004000000002,14.533695999999999,-0.016704000000000163,2.255696000000001,9.849295999999999,2.927996000000001,-2.246004,-6.960504,-5.754004,-2.2069039999999984,-3.0686040000000006,11.848795999999998,14.969696,9.209395999999998,4.277695999999999,-7.783704000000002,0.6193960000000013,17.227496,13.642695999999997,-3.1011039999999994,-15.357404000000002,12.963096,4.162896,-6.243704000000001,-0.6510040000000006,-6.818504000000001,-11.554304,9.773896,-14.195404000000002,-10.448404,-0.15960399999999986,17.464496,-3.559804,-4.350203999999999,-8.769303999999998,1.1010959999999992,-3.0070040000000002,24.075996000000004,2.5058959999999995,-1.0868040000000005,8.866596,28.913596,-4.908404000000001,3.8860959999999993,-16.107003999999996,13.842496000000004,-7.4632039999999975,-8.026704000000002,-7.234404,4.243495999999999,-3.315804,17.345496,22.246295999999997,-0.47200400000000275,-8.614404,2.414896
