date,科蓝软件,创业慧康,劲嘉股份,新开普,中国太保,高伟达,万向德农,承德露露,汇鸿集团,巨人网络,财通证券,捷顺科技,申通地铁,健康元,佳都科技,塞力斯,海泰发展,君正集团,浙大网新,航天信息,易联众,东港股份,七匹狼,卫宁健康,湘邮科技,永安行,凤凰传媒,绿地控股,新大陆,金字火腿,合肥城建,中国人寿,润和软件,新华保险,张江高科,南京银行,新华联,恒生电子,国金证券
2020-02-05,-5.506966368405528,29.533333631594473,-3.374966368405527,31.054633631594463,-2.1101663684055287,47.604833631594474,-4.299966368405526,-5.510566368405527,-6.62566636840553,9.417033631594471,-4.854966368405529,36.72103363159447,-4.620666368405529,14.768833631594472,1.4995336315944727,34.626033631594474,-10.827666368405527,-8.001366368405527,-7.973066368405526,6.388433631594472,4.5996336315944735,-7.550666368405526,-2.4419663684055273,26.973233631594468,-1.6028663684055244,16.377633631594467,2.581433631594471,-5.3290663684055275,16.805333631594475,-4.516466368405526,-4.1689663684055285,-2.95166636840553,-10.462666368405525,3.523233631594473,-6.6255663684055275,-0.5245663684055277,-13.62166636840553,18.085833631594472,-5.521766368405527
2020-02-06,-0.6696413620429746,33.11705863795703,-3.684941362042972,38.96015863795702,-2.3166413620429736,40.07205863795703,-0.80424136204297,-4.752641362042972,-6.673241362042971,10.372358637957026,-3.894241362042973,36.108158637957025,-7.043141362042974,12.14605863795703,2.680158637957028,30.494058637957032,-7.39374136204297,-8.109341362042972,-5.04554136204297,6.1835586379570255,12.445858637957027,1.7069586379570296,-0.6067413620429727,30.348458637957023,-2.7382413620429698,16.492958637957024,9.204358637957027,-7.367141362042972,18.286258637957026,-4.892941362042972,-5.053841362042973,-3.8005413620429747,-10.695641362042972,4.175758637957028,-7.820141362042973,-1.5795413620429726,-13.863441362042973,22.55965863795703,-4.663641362042972
2020-02-07,0.9474918582484011,36.224691858248406,-4.266408141751598,46.2939918582484,-4.0633081417516,47.37999185824842,-4.132008141751596,-5.579808141751598,-1.6930081417515987,12.056991858248402,0.3068918582484028,37.7532918582484,-8.417808141751598,13.622291858248403,5.551291858248401,26.0652918582484,-6.248108141751597,-8.109808141751598,-1.1969081417515977,8.724191858248401,13.064591858248404,3.2045918582484023,1.6088918582484033,30.0067918582484,-3.223808141751595,20.3619918582484,6.832291858248402,-7.1181081417515975,21.611791858248402,-7.082908141751598,-4.854808141751598,-3.911308141751599,-6.445308141751599,1.410491858248403,-5.081508141751597,-0.6271081417515981,-13.9949081417516,25.602391858248403,-3.6457081417515966
2020-02-10,2.0538595354600244,40.225059535460026,-1.4741404645399716,33.98735953546002,-6.756540464539976,46.17985953546003,-4.17124046453997,-5.012840464539973,-1.225940464539975,7.223359535460027,-0.3844404645399737,47.11055953546003,-5.283040464539975,11.393759535460028,5.299259535460026,19.739659535460028,-5.437040464539973,-2.275940464539973,-2.6860404645399703,5.702459535460026,12.300359535460027,1.1421595354600278,-0.01824046453997341,33.030459535460025,-6.065540464539973,21.036059535460026,5.668059535460024,-6.420240464539972,16.17065953546003,2.4250595354600266,-3.4217404645399743,-3.001440464539975,-5.390440464539974,0.3590595354600272,-1.6508404645399746,-0.8806404645399738,-11.244940464539976,29.268759535460024,-2.4824404645399727
2020-02-11,-1.3828898373784793,36.995410162621525,-4.460889837378476,22.943210162621522,-4.429289837378478,34.56041016262152,-14.892589837378477,-4.828289837378477,-12.982789837378478,2.2042101626215227,-0.9238898373784772,39.37231016262153,-3.6342898373784767,17.995610162621524,0.7917101626215217,17.182910162621525,-6.402389837378476,-4.988889837378476,-3.519189837378474,3.9525101626215227,11.879910162621524,-0.768389837378475,-1.3874898373784765,31.260510162621518,-8.176689837378474,17.933710162621523,2.9850101626215224,-5.936789837378476,13.071910162621531,-13.431389837378473,-1.4467898373784776,-2.5774898373784785,-4.932889837378476,0.9519101626215242,-3.596389837378477,-1.1433898373784768,-12.02798983737848,26.19221016262152,-3.300289837378476
2020-02-12,-1.5676905316214196,45.28360946837859,-5.611190531621416,27.31630946837858,-6.242190531621418,27.79120946837858,-8.164390531621414,-5.745790531621416,-9.591590531621415,1.925309468378584,-0.3531905316214168,42.61960946837858,-4.018390531621417,17.828809468378587,2.026109468378582,16.124809468378587,-6.5308905316214165,-3.5525905316214175,-4.343790531621414,3.048309468378582,13.60310946837858,-2.133890531621417,-1.799290531621417,40.14010946837858,-6.854390531621415,18.003109468378582,2.006709468378582,-6.049490531621417,7.641109468378586,-14.254790531621413,-3.2110905316214176,-2.264690531621418,-5.949190531621419,0.034509468378583597,-4.383190531621418,-2.7152905316214166,-12.271290531621416,28.42820946837859,-2.5509905316214163
2020-02-13,0.3606771789154162,39.77077717891542,-8.77962282108458,25.24647717891542,-6.284122821084583,19.91147717891542,-0.4613228210845808,-6.950922821084582,-8.55352282108458,0.24167717891541907,0.7331771789154193,45.32717717891543,-4.904922821084581,15.12597717891542,1.3582771789154173,12.953877178915418,-7.732622821084581,-2.4603228210845822,-2.1326228210845786,5.5854771789154185,13.920377178915418,-0.31292282108457936,-1.3158228210845813,46.78897717891541,-7.462822821084578,16.956977178915416,2.198377178915417,-7.557722821084582,-2.23702282108458,-9.60702282108458,-1.3098228210845813,-2.1304228210845815,-3.775522821084581,-0.2361228210845805,-2.0938228210845815,-2.9331228210845812,-12.480522821084582,26.344377178915423,-2.5689228210845814
2020-02-14,-1.234637039590617,33.61546296040938,-7.32963703959061,23.634262960409384,-4.950237039590616,20.639362960409386,1.9688629604093875,-6.268437039590613,-7.440737039590613,0.5359629604093876,2.069962960409386,43.56766296040938,-4.863037039590614,11.39736296040939,1.1702629604093873,11.316862960409392,-7.488037039590611,-2.139437039590613,-4.00013703959061,5.813262960409387,8.697662960409385,-0.992337039590613,-2.572937039590613,41.08246296040939,-9.420637039590611,17.195962960409382,2.619962960409385,-5.458737039590612,2.773062960409388,-15.151237039590614,0.33856296040938605,-2.412437039590614,-5.3453370395906115,0.2180629604093881,-2.4389370395906145,-1.903537039590613,-10.094037039590612,25.93736296040939,-0.3469370395906126
2020-02-17,1.64285762834225,38.13405762834225,-7.899142371657746,21.330957628342254,-4.4307423716577485,19.837557628342253,12.394757628342251,-6.787742371657748,-7.0497423716577465,1.3846576283422523,3.9309576283422523,34.40855762834225,-4.711642371657748,8.650257628342256,5.68735762834225,11.936457628342252,-6.286542371657745,-0.4887423716577477,-3.7637423716577447,6.9994576283422525,14.23345762834225,6.355657628342255,-3.929442371657748,42.16725762834225,-8.879842371657746,19.06845762834225,3.1955576283422507,-5.531842371657747,7.522857628342254,-12.637442371657745,0.060857628342251724,-3.379942371657749,-3.318742371657748,0.3285576283422532,0.5185576283422524,-1.3726423716577476,-10.452142371657747,27.07575762834226,6.942757628342253
2020-02-18,4.481682506002771,40.05448250600277,-6.126317493997224,28.58798250600277,-5.407117493997227,16.466382506002773,10.147782506002775,-6.686917493997226,-4.328917493997226,2.3340825060027752,4.220182506002774,32.56808250600277,-3.4548174939972256,8.724182506002778,10.128082506002773,12.80968250600278,-4.643017493997224,2.6152825060027745,-0.9280174939972219,7.434882506002776,14.596882506002773,12.613782506002774,-2.0572174939972254,46.31738250600277,-4.342817493997222,14.676582506002775,4.588082506002774,-5.466617493997224,7.4070825060027765,-7.846017493997223,-2.040217493997226,-3.6636174939972266,-1.4637174939972244,-1.0960174939972245,0.18508250600277412,-0.7863174939972252,-8.271317493997223,27.59568250600278,10.162682506002776
