date,飞利信,恒宝股份,数知科技,聚龙股份,梦网集团,昆仑万维,科蓝软件,金固股份,金冠股份,金财互联,紫光国微,中科创达,信息发展,海联金汇,飞天诚信,赢时胜,科达股份,汉威科技,朗科科技,华媒控股,海峡创新,*ST联络,二三四五,众应互联,新晨科技,广电运通,数字认证,奥马电器,智度股份,华力创通,广东骏亚
2020-02-25,25.94165648717391,-6.681743512826096,1.5077564871739053,-13.227543512826095,3.0534564871739054,21.4529564871739,2.036356487173902,-8.425043512826097,-15.181343512826095,-6.321243512826097,12.636756487173901,18.9113564871739,-13.130943512826097,-9.081243512826099,-5.749343512826093,-3.7446435128260966,-19.359843512826092,-14.546143512826095,2.714756487173905,-18.088743512826095,-4.221443512826094,-31.590543512826095,-2.7083435128260938,-2.631343512826094,0.5655564871739047,-7.766343512826094,6.109956487173904,-18.971643512826095,-13.150343512826096,39.18885648717391,-1.394843512826097
2020-02-26,23.76300119178813,-3.8293988082118755,0.6581011917881261,-12.040798808211878,-1.6514988082118744,20.929701191788126,2.279701191788123,-5.5381988082118765,-3.9779988082118742,-6.959598808211877,4.605501191788123,8.440401191788123,-12.015798808211875,-4.684898808211877,-5.326098808211873,-0.6491988082118767,-14.027098808211871,-11.830998808211874,2.8707011917881236,-14.073098808211876,-1.8474988082118744,-28.31679880821188,1.4576011917881262,-1.588898808211872,-4.393798808211875,-6.795998808211873,6.449201191788124,-12.980798808211876,-10.966998808211873,31.28600119178812,-1.3697988082118746
2020-02-27,16.64574956490833,-1.488150435091669,3.704949564908332,-9.842450435091667,-6.239550435091667,25.48244956490833,3.7340495649083287,-6.631850435091668,-6.0365504350916686,-7.24365043509167,2.031649564908328,12.192449564908326,-13.671550435091671,-4.63165043509167,-7.226350435091668,0.5371495649083311,-16.66855043509167,-13.974250435091669,-1.2434504350916686,-12.56545043509167,-3.5515504350916682,-20.805750435091667,-2.150350435091668,-1.9877504350916666,-3.8450504350916694,-6.849950435091668,4.40584956490833,-10.27185043509167,-12.109850435091666,30.56504956490834,-3.56605043509167
2020-02-28,17.321568404406374,-2.5319315955936266,-1.9932315955936253,-9.567331595593627,-5.678731595593624,21.815968404406377,-0.7860315955936255,-6.359031595593625,-9.037831595593625,-7.397431595593628,3.581668404406371,18.965068404406374,-10.456731595593624,-6.079831595593628,-9.965031595593624,1.1950684044063735,-12.271531595593624,-10.519931595593622,0.44356840440637235,-10.589531595593627,-8.297031595593626,-14.579631595593625,-0.7878315955936239,-2.0551315955936236,-8.194831595593625,-7.592731595593626,7.843868404406373,-10.363431595593628,-11.458931595593624,22.337268404406373,-4.760431595593626
2020-03-02,17.30185704195179,0.9336570419517916,0.35325704195179186,-6.006042958048209,-6.690542958048207,0.5968570419517922,1.343457041951789,-6.246242958048205,-1.5320429580482067,-8.06904295804821,4.61255704195179,19.64025704195179,-11.169042958048205,-3.3262429580482094,-7.024242958048205,5.061957041951791,-7.320842958048205,-3.0397429580482065,3.0807570419517925,-10.122042958048208,-11.019142958048208,-15.087642958048212,1.9026570419517936,2.6088570419517954,-4.72664295804821,-4.613242958048208,10.119157041951793,-6.727842958048207,-5.863142958048206,23.438857041951792,-2.0469429580482084
2020-03-03,7.697827017732838,4.390627017732832,1.7601270177328323,1.289227017732832,-12.98507298226717,-12.727472982267166,8.004927017732832,5.660027017732835,1.8645270177328328,-13.86897298226717,0.8623270177328295,13.726727017732832,-9.848772982267167,6.728727017732831,0.3957270177328329,8.260127017732831,4.177427017732833,2.143627017732833,6.2671270177328315,-10.720672982267166,-19.97547298226717,-11.736872982267169,2.8383270177328326,8.498527017732833,2.7887270177328314,-2.197772982267168,6.552727017732831,-1.6488729822671688,0.6500270177328336,28.12142701773283,2.5079270177328317
2020-03-04,1.5794590054976099,8.78335900549761,6.194859005497607,3.4720590054976075,-14.405940994502393,-18.69774099450239,11.442259005497608,3.8616590054976117,-0.16594099450239197,-8.983440994502395,3.4285590054976023,7.479459005497605,-7.871140994502391,5.832359005497607,2.5424590054976086,14.132359005497607,1.0888590054976077,11.856459005497609,10.384559005497609,-10.997540994502392,-19.301740994502396,-8.276040994502393,2.621359005497609,8.627759005497609,4.803359005497606,-0.6740409945023933,12.55365900549761,0.5327590054976077,5.294459005497608,25.64025900549761,5.065559005497607
2020-03-05,2.7286352056988368,10.672935205698833,8.300435205698832,5.598135205698833,-15.236964794301166,-20.400964794301164,10.738835205698834,7.5807352056988355,7.900935205698833,-13.446964794301172,6.109435205698829,-3.0314647943011668,-3.6061647943011668,5.231735205698832,2.4999352056988338,13.614735205698832,3.1313352056988317,23.84923520569884,14.304235205698832,-10.605264794301167,-15.247564794301166,-10.369064794301165,5.722835205698832,11.608935205698835,5.180735205698832,1.8962352056988312,14.50993520569883,3.6885352056988316,5.064435205698833,26.150235205698834,10.030035205698832
2020-03-06,5.459573274243001,9.040773274243001,9.906073274242999,2.0458732742430006,-11.423926725756996,-18.079926725756998,8.672573274243,9.623073274243005,10.756873274242999,-11.580126725757003,1.1182732742429986,-2.2136267257569986,-3.859226725757,4.771273274243,-2.395826725756999,10.527373274242997,2.786373274243,26.532873274243002,12.980773274242999,-8.176226725757,-13.409326725756998,-4.249826725756999,2.5731732742430005,9.601373274243002,3.5310732742429995,0.5852732742429994,5.661173274243001,2.3891732742430003,8.004673274243,21.649473274243004,9.089373274243
2020-03-09,6.1397906310791255,13.58509063107913,12.700690631079127,1.0331906310791266,-5.082209368920871,-14.053509368920874,7.2155906310791265,9.99669063107913,11.066190631079127,-11.484909368920878,1.7846906310791242,-7.541609368920872,-6.4955093689208745,4.023990631079125,-2.2123093689208733,8.593390631079128,2.906390631079125,27.17469063107913,12.991690631079125,-2.934409368920873,-15.013309368920872,7.014390631079126,5.344590631079125,11.231090631079127,3.3039906310791247,0.02869063107912595,2.9560906310791264,1.0333906310791259,6.490390631079126,9.702790631079129,11.351290631079124
