date,新和成,华兰生物,大族激光,传化智联,中航机电,亿帆医药,苏宁易购,分众传媒,苏泊尔,美年健康,紫光国微,三花智控,东华软件,国轩高科,沙钢股份,太阳纸业,金螳螂,三钢闽光,韵达股份,南极电商,中环股份,宁波银行,荣盛发展,广电运通,石基信息,正邦科技,中航光电,纳思达,华天科技,二三四五,金风科技,合力泰,鱼跃医疗,科大讯飞,大华股份,歌尔股份,上海莱士,卫士通,东方雨虹,光迅科技,信立泰,圣农发展,洋河股份,海大集团,格林美,顺丰控股,杰瑞股份,北方华创,伟星新材,千方科技,东山精密,大北农,海普瑞,四维图新,广联达,高德红外,海康威视,科伦药业,启明星辰,欧菲光,赣锋锂业,沪电股份,海格通信,天齐锂业,申通快递,立讯精密,荣盛石化,山西证券,涪陵榨菜,老板电器,三七互娱,巨人网络,森马服饰,索菲亚,比亚迪,领益智造,龙蟒佰利,世纪华通,中公教育,完美世界,国盛金控,西部证券,美亚光电,牧原股份,国信证券,万达电影,康弘药业,第一创业,恩捷股份,凯莱英,视源股份,大博医疗,深南电路,盈趣科技,华西证券,鹏鼎控股,长城证券,青农商行,苏州银行,中国广核
2020-04-03,12.314701000000001,23.226601,-12.915699,-1.0150989999999989,11.014501000000001,-1.368799000000002,1.2707009999999996,-13.198599000000002,10.876200999999998,-3.678498999999999,15.909101,-12.030199000000003,-10.892698999999999,-10.669998999999999,22.230600999999997,-5.214998999999999,-0.6389990000000001,0.9684010000000016,12.001801,11.453901000000002,2.0562010000000024,-8.147499,3.5389010000000014,0.8298009999999976,-23.380398999999993,12.941700999999998,-0.9059990000000009,-24.221599,-4.620298999999998,-2.6464990000000004,-0.601498999999999,-10.591899000000002,37.081501,-5.2417989999999985,-2.9122990000000004,-2.6349990000000023,-3.902299000000001,-18.368199000000004,13.280401000000003,9.769600999999998,6.091100999999999,11.827900999999999,-1.241699000000001,22.534100999999996,-5.027699,11.583501000000002,-24.196599000000003,8.160701000000001,-5.601399,-3.326499000000001,-15.789498999999994,5.415700999999999,-12.765699000000001,-10.506499,14.267001000000002,-18.701299,0.0437009999999991,-1.112998999999999,3.247601,-12.360098999999998,-11.636399000000004,-0.3044990000000025,4.732801,-39.80059899999999,-1.469999,5.011201,7.192901,-4.799899,12.926301000000002,-0.01699900000000082,7.728300999999998,1.5418009999999998,-5.665199000000001,-2.7069990000000024,-3.162699,-15.521099000000007,-4.179299,3.950901,10.312900999999998,14.245101,-2.067299,-7.883899,8.134401,9.407801,-1.715399,8.702601,18.120801,-2.5030990000000015,-4.0049990000000015,3.890301,0.37230099999999866,-1.6052990000000003,5.189901000000002,-25.963299000000006,-3.8795989999999985,-0.7395989999999979,-1.5022990000000012,-14.274499,-4.635599,2.042001000000001
2020-04-07,6.713973000000002,22.398173,-7.723927000000001,-3.175926999999999,10.326073000000001,-1.1818270000000013,-0.8310270000000004,-16.486827,5.827672999999999,-4.404827000000001,21.360673000000002,-10.139827,-6.140926999999996,-5.484227,28.478372999999998,-4.069927,-2.6973269999999996,-0.12382699999999969,10.137073000000001,11.089273,6.4595730000000025,-9.369727,1.6688729999999996,10.005472999999999,-18.161727,10.577873,-0.574927,-21.354726999999997,1.0549730000000035,4.498373000000002,-0.5384269999999999,-8.681227,26.141673,-5.206726999999999,-4.223327000000001,-0.09002700000000075,-5.729727000000001,-11.750827,18.937973,5.272873000000001,2.9897729999999987,9.134973000000002,-3.8298270000000008,19.418273,-4.995227000000002,9.108172999999999,-18.534726999999997,10.883873000000001,-4.942226999999999,-0.9891270000000004,-14.152826999999997,8.850072999999998,-4.811627,-6.101127000000001,16.361973000000003,-14.955426999999997,-1.677726999999999,-6.188826999999999,3.4343730000000026,-7.582626999999999,-7.699027000000001,1.5493730000000006,8.178173,-34.630727,-4.990926999999999,6.228173000000001,0.6996729999999993,-7.498927,11.572673000000002,-2.6216269999999997,14.266672999999999,-0.12162699999999926,-5.402827,-1.3981270000000015,0.4623730000000008,-14.291027,-4.006226999999999,6.087873,11.440172999999994,15.121173000000002,-3.7090269999999994,-10.646727000000002,8.342773,1.7475730000000005,-5.173927,1.7128730000000019,11.871072999999999,-5.266527000000002,-1.8593270000000008,3.500373,-1.2922269999999998,1.726272999999999,1.9222730000000015,-21.622527,-5.463626999999999,-1.1559269999999966,-4.362227,-15.784327000000001,-5.458627000000002,-1.858926999999999
2020-04-08,10.715455000000002,21.093755,-7.468045,-1.052844999999998,9.120255,3.187154999999999,1.3035549999999994,-16.823645,5.678154999999998,-0.603444999999999,19.338555,-12.070245000000003,-8.908144999999998,-6.368144999999998,29.648354999999995,-3.406344999999999,-2.142945,0.8943549999999998,9.306555000000003,9.647454999999999,0.1318550000000025,-8.968945000000001,1.7359550000000006,8.737955,-11.526144999999998,16.859355,0.6790549999999999,-12.098144999999997,-2.0430449999999967,4.031455000000001,3.6603550000000005,-11.302844999999996,29.163854999999998,-5.918544999999998,-5.236045000000001,-1.833945000000003,-1.9422450000000022,-16.197145000000003,18.721455000000002,2.862754999999998,7.360755,8.289254999999999,-1.5872450000000007,21.230354999999996,-1.7037450000000005,11.948355000000001,-13.861945,4.590055,1.0882550000000006,-3.550045,-13.629944999999996,10.662655000000004,-3.1403449999999995,-9.529244999999998,9.200955,-7.3289449999999965,-2.7436449999999986,2.161455000000001,2.737255000000001,-8.840744999999998,-9.929545000000003,-5.052544999999998,5.277654999999999,-34.454944999999995,-2.4908450000000006,3.857955,6.777955000000002,-7.836645,12.999455000000001,-2.0927450000000003,12.641654999999998,1.5899550000000007,-0.7401450000000009,-3.8242450000000017,0.9098550000000019,-13.498745,-0.28864500000000004,6.682354999999999,5.915954999999999,15.294855000000004,-4.4961449999999985,-10.719545000000002,11.576055000000002,3.641554999999999,-4.936445,-1.898345,18.087455,-3.764845000000001,-5.035545000000001,7.279455000000001,-3.3758450000000004,3.579855,-3.104045,-19.684445,-7.954444999999999,1.6593550000000015,-7.228945,-14.519845,-4.4655450000000005,0.5622550000000008
2020-04-09,8.947252000000004,20.237152000000002,-9.458448,-3.574947999999999,7.839852000000001,4.0171519999999985,1.2589519999999994,-17.781448,3.849452,2.4022519999999994,17.644752,-12.806148000000002,-9.519147999999998,-6.8099479999999994,27.272251999999998,-1.2536479999999992,-1.4081479999999995,-0.19774800000000048,1.986651999999998,11.049952,-2.442047999999997,-7.502848,-2.4524480000000004,8.714552,-9.715748,18.702952,-2.712748,-8.831448,-1.6684479999999962,4.832752000000002,1.5915520000000003,-8.156747999999997,32.741752000000005,-1.4226479999999997,-5.456948000000001,-4.406948000000002,-2.1833480000000014,-18.848048000000002,18.108952000000002,3.274451999999998,8.188852,6.995751999999999,-2.8199480000000015,18.386851999999998,-1.0229480000000009,11.547851999999999,-12.405947999999999,8.219852000000001,0.0688520000000018,-3.3782479999999997,-13.292147999999996,8.138852000000004,1.5110520000000007,-10.755548,13.222352000000003,-0.8714479999999978,-5.2139479999999985,4.8523520000000016,1.7115520000000013,-7.990848000000001,-12.189448000000002,-3.404747999999997,0.7332519999999995,-35.310548,-3.571848000000001,1.396052000000001,6.4458519999999995,-6.671448000000002,20.312452,-1.905748,13.231551999999997,0.4288520000000007,-5.053148000000002,-3.755148000000001,1.4607520000000007,-13.240247999999998,0.3389519999999999,13.125852000000002,8.741451999999999,16.587552,-4.253948,-9.064148000000001,13.784452000000003,4.2422520000000015,-4.296348,-9.766448,24.100652,-2.8168480000000007,-4.9763480000000015,15.324751999999998,-1.043748,10.833252000000002,-1.8563479999999992,-19.046248,-5.2028479999999995,-0.24934799999999657,-8.809948,-15.146048,-4.236948000000002,-0.8939479999999995
2020-04-10,10.121015000000003,23.810215000000003,-9.644185,-3.2697849999999975,7.6386150000000015,5.525514999999999,1.621915,-16.542185,4.377215000000001,1.6088150000000003,15.973715,-11.733085000000003,-10.557484999999998,-8.307585,10.155315000000002,0.49961500000000036,-0.7434849999999995,1.0997150000000007,1.3413149999999985,8.399915000000002,-10.303284999999997,-5.462885,-1.0060849999999997,8.866215000000002,-11.286184999999998,24.756615,-2.9856849999999997,-12.962684999999999,-10.833485,2.3114150000000016,2.5389150000000003,-11.535685,32.300015,-1.172984999999999,-5.836385,-2.025085000000002,-2.4138850000000014,-18.106085,19.730615,-0.35708500000000054,9.554115000000001,9.105915,3.8896149999999996,26.144814999999998,-0.4238850000000003,13.038915000000003,-6.135685,0.02201500000000145,-2.407184999999999,-6.078684999999998,-15.752084999999996,12.789814999999999,3.947714999999999,-13.049885,11.472415000000002,-1.7724849999999974,-4.827884999999998,7.401215000000001,-0.8728849999999988,-9.301984999999998,-14.810685000000003,-5.267185,-0.5847850000000012,-34.940185,-2.4304850000000005,-0.991584999999999,9.260715000000001,-7.346584999999999,16.030315,1.895014999999999,13.657014999999998,1.5444150000000003,-7.689185,-0.925085000000001,2.2326150000000005,-13.979484999999999,0.9228149999999997,9.743715,11.394515,16.580315000000002,-4.359885,-9.968685000000002,16.525315,8.145914999999997,-3.396685,-12.310985000000002,21.129815,-3.350585000000001,-4.612585000000001,13.703514999999998,-1.649385000000001,11.991615,-3.062585,-17.257185000000003,-7.497984999999999,-0.6343849999999966,-10.410985,-16.890685,-7.436884999999998,-0.5136849999999997
2020-04-13,13.166583000000003,23.311983,-8.311717,0.09478300000000206,2.489283000000001,11.255683000000001,3.1781829999999998,-17.943416999999997,2.955883,-0.20601700000000078,15.335882999999999,-14.600117000000003,-11.843016999999998,-8.574416999999999,18.772183000000002,-1.8578169999999996,1.581683,2.1624830000000004,0.5998829999999988,13.413583000000001,-19.492716999999995,-5.902617000000001,2.122783,8.122482999999999,-12.430717,16.746482999999998,-3.0156169999999998,-12.128616999999998,-19.217017000000002,-0.11791699999999872,6.0780829999999995,-11.534117,36.001082999999994,-2.859916999999999,-5.693017,-3.444117,0.09608299999999903,-18.330517,22.909183000000002,-1.2767170000000017,9.996483000000001,9.768383,5.7792829999999995,22.883183,0.35888299999999956,16.526883,-4.907416999999999,-7.956816999999998,1.319583000000002,-10.434016999999999,-13.978516999999998,11.688183,11.998683,-18.540717,10.077183000000002,3.4823830000000036,-2.7936169999999985,11.639483000000002,-4.5729169999999995,-10.863417,-14.466016999999999,-7.854516999999998,-2.5109170000000005,-33.180316999999995,-0.591917,-1.1304170000000002,10.640783,-6.890617000000001,18.836883000000004,10.598283,11.613983,1.7586830000000004,-4.359217000000001,5.2701829999999985,7.184683000000002,-16.329216999999996,4.384183,7.369283000000001,12.873683,15.562883,1.159783000000001,-8.126817000000003,15.695983000000002,7.462183,-2.031617,-13.222717,17.030883000000003,-1.6063170000000018,-8.935817,14.636282999999997,-1.475917,14.814483,-11.327617,-14.772317000000003,-7.468816999999998,-0.6380169999999968,-14.227917,-21.169517000000003,-11.652717,1.0566830000000003
2020-04-14,13.486352000000004,19.224352,-5.339848000000001,-4.760847999999999,0.1745520000000007,12.369551999999999,-3.446548,-15.508047999999999,-0.7943480000000007,-2.7729479999999995,15.182152,-4.752048000000004,-10.423847999999998,1.3734520000000003,14.127351999999998,-4.959848000000001,-3.3984479999999992,-3.051348,-0.7236480000000003,14.255352,-17.125947999999998,-8.923048,-1.586548,7.8957520000000025,-14.469947999999999,15.306452,-10.870548000000003,-14.335348,-10.930447999999998,-3.3972479999999985,3.2785520000000004,-8.028148,22.703152000000006,-5.639647999999999,-5.009148000000001,1.2199520000000006,-6.425048,-14.986147999999998,24.576552000000003,1.6445519999999991,2.212352000000001,7.224751999999999,0.9258519999999995,29.170052,-1.2907479999999998,9.898352000000001,-1.9903479999999978,-9.394148000000001,-1.1499479999999989,-10.398547999999998,-8.751547999999996,16.519952000000004,13.931351999999999,-17.618948,11.113452,0.7707520000000039,-2.052847999999999,8.745352,-0.1925479999999995,-6.705447999999999,-3.4126480000000035,-4.848247999999998,-1.477848000000001,-27.156648,-7.426948000000001,5.155252000000001,3.9701520000000006,-9.246548,12.950152000000005,8.771851999999999,11.417252000000001,-2.873748,-4.3986480000000014,3.1502519999999983,5.232752000000003,-8.866647999999998,2.8019519999999996,8.104451999999998,6.132352,12.852152000000002,-0.2934479999999984,-9.417148,17.165052,6.3940519999999985,-4.489147999999999,-13.636348,10.578951999999997,-1.985048000000002,-2.1165480000000017,14.433651999999997,-6.128248,13.995551999999998,-7.188548,-8.905448000000002,-3.5225480000000005,3.1983520000000025,-12.643947999999998,-22.037348,-10.982948,-5.887048
2020-04-15,10.211070000000003,12.36347,-4.7394300000000005,-6.05903,-0.30873000000000017,9.625169999999997,-5.257029999999999,-8.052129999999995,-4.244530000000001,-10.604330000000001,7.5300699999999985,-0.247830000000004,-6.518529999999997,-0.7884299999999995,17.97497,-6.43613,-5.2592300000000005,-3.9423299999999997,0.38496999999999953,14.488969999999998,-15.830129999999993,-9.54583,-1.2220300000000006,8.36887,-11.77103,10.370869999999996,-11.530230000000003,-10.808430000000001,-4.633229999999994,-4.219729999999998,5.319469999999999,-10.274429999999999,26.353470000000005,-7.33813,-6.570729999999999,3.12527,-2.513230000000001,-16.27363,20.592470000000002,-1.5284300000000017,3.3871700000000002,5.448569999999998,2.18737,23.076669999999996,-2.89133,8.24697,-3.1066299999999982,-13.074729999999999,-0.23392999999999908,-11.834129999999998,-2.002629999999997,19.798070000000003,10.75657,-21.87383,6.19707,0.650070000000003,0.7607700000000015,5.904470000000002,-1.1623299999999999,-0.013029999999998765,3.7700699999999983,-3.9569299999999985,-5.583130000000001,-26.432630000000003,-7.377730000000001,7.572069999999999,7.822369999999999,-11.444130000000001,16.96637000000001,6.982669999999999,7.618169999999999,-5.762830000000001,4.71477,2.528169999999999,10.478970000000004,-2.2160299999999986,5.782069999999999,3.14407,3.447369999999999,11.65837,-3.4694299999999987,-11.25073,16.55887,3.902870000000002,-5.633929999999999,-9.87713,11.66887,-5.598830000000001,-1.2630300000000005,12.691169999999996,-6.1324299999999985,14.388669999999998,-4.40963,-2.0911300000000015,-7.195729999999999,8.885270000000002,-18.180329999999998,-22.23513,-11.20243,-6.050929999999999
2020-04-16,5.349728000000002,15.201328,-3.496672,-9.172372,5.681727999999999,10.887927999999999,-5.504671999999999,-5.176871999999999,-4.056172,-7.268472000000001,3.813628000000002,2.104827999999998,-9.473571999999997,5.584128,24.619128000000003,-7.205271999999999,-5.612571999999999,-9.657772000000001,2.4399279999999997,21.050027999999998,-14.401571999999996,-7.200171999999999,-0.13997200000000043,17.881828,-8.738672000000001,0.4586280000000009,-8.589372,-15.405971999999998,5.028428000000004,2.8438280000000002,3.9279279999999996,-8.716272000000002,28.049628000000002,-7.812671999999999,-6.004272000000001,4.424428,-1.2892720000000002,-10.765771999999998,16.078128000000007,-2.338771999999999,3.926728000000001,2.875128000000001,1.7471280000000007,16.968628,-3.7232719999999997,5.323327999999998,-1.117071999999999,-10.080271999999997,1.1307280000000006,-9.547471999999999,-1.2517719999999977,19.362028000000002,10.663628000000001,-24.408172,9.847328000000001,3.0136280000000015,-0.39497199999999993,3.7513280000000018,0.3484280000000005,-0.7988719999999976,3.7847279999999976,-2.095871999999999,-2.475172000000001,-26.176772,-9.913172,6.775828,5.8266279999999995,-8.604972000000002,15.558028000000006,8.536527999999997,9.615528000000001,-7.951871999999999,3.8348279999999995,5.417227999999999,10.596128000000004,-2.996171999999997,3.444027999999998,5.849028000000001,2.360328000000001,10.733028000000001,-5.339471999999999,-9.409272000000003,18.457327999999997,-2.588272,-4.846871999999999,-11.124272000000001,7.326427999999998,-1.9694720000000019,0.3323279999999982,7.665527999999996,-4.336772,14.883628,-1.7993720000000026,-3.2042720000000005,-7.228971999999999,11.328528000000002,-12.445971999999998,-20.541072,-4.674572,-5.467472
2020-04-17,-0.14902499999999974,13.702375000000004,-2.675225,-8.556125,9.111575000000002,11.399975000000001,-6.308624999999999,-1.9325249999999992,1.232675,-2.122625000000001,1.0417750000000008,2.5262749999999983,-14.486124999999998,6.177474999999998,10.054475,-4.958624999999999,-3.6535249999999997,-8.310025,10.464975,25.388675,-14.394324999999997,-0.25442499999999946,4.269475000000002,18.704875,-11.841125,-0.8143250000000002,-6.356725000000002,-12.593424999999998,0.5790750000000044,-2.4702250000000006,3.9513749999999996,-13.661725,28.310075,-9.691625,-7.425825000000001,9.405475000000001,-1.136325,-15.797225,15.639175,-7.604325,3.608975000000001,4.068575000000002,4.388775,19.038874999999997,-3.317925,3.5256749999999997,0.12067500000000164,-7.277424999999997,3.446275000000001,-11.176225,-1.0692249999999968,11.226375,10.178275,-27.567224999999997,8.586775000000003,0.5196750000000028,-0.05262499999999859,4.202975000000001,2.751975,-7.086124999999998,6.644274999999999,-4.843824999999998,-4.564725000000001,-20.626325,-6.2917250000000005,9.360175000000002,9.626975,-9.843125,14.961675000000007,13.610775,2.6424749999999992,-9.854225,8.687574999999999,7.992375000000001,9.961975000000006,-5.341724999999997,3.8394749999999984,-0.5906249999999988,-1.670924999999999,4.577874999999999,-8.019424999999998,-11.081425000000001,16.408574999999995,-0.8965249999999991,-7.1496249999999995,-8.880424999999997,4.853375,-3.4117250000000015,3.1008749999999994,8.537074999999998,-4.052124999999999,14.044875000000001,-1.985825000000001,1.2421750000000005,-10.625525,11.809475000000003,-12.064225,-21.439425,-6.181624999999999,-5.150025000000001
2020-04-20,-2.1522620000000003,7.828538000000001,-2.003162,-7.190662,4.847538000000002,8.759538000000001,-6.9582619999999995,-1.7145619999999995,0.14233800000000008,-5.4913620000000005,7.257037999999999,7.7354379999999985,-7.584861999999997,16.793438,13.693238000000001,-11.412061999999999,-2.2860619999999994,-11.615462,5.879937999999999,27.178538,-9.886061999999995,-1.662861999999999,0.9649379999999996,25.107837999999997,-10.520562000000004,-0.2536620000000004,-3.774762,-8.650661999999997,5.565338000000004,-1.0173619999999999,0.6048379999999991,-14.853162000000001,26.611338000000003,-7.974361999999998,-5.978562,7.840238,-3.3993620000000004,-12.033961999999997,13.153538000000001,-7.126262000000001,2.1143380000000014,3.8388380000000004,2.969138,13.490637999999999,-4.594162,2.666538,-3.3989619999999987,-7.252162,5.479938000000001,-9.848062000000002,0.21003800000000084,10.982538000000002,7.486038000000001,-18.105762000000002,7.258938000000001,1.7688380000000026,1.6537379999999997,0.3877379999999999,0.5096380000000006,-6.225461999999999,6.154337999999997,-3.1904619999999997,-2.2220620000000006,-18.991362,-6.631262,7.071038000000001,6.595237999999999,-10.160462000000003,11.393438000000003,14.918838000000001,1.2913379999999997,-10.021662000000001,5.472438,9.598037999999999,7.600638000000001,-5.119361999999999,0.5136379999999985,-4.258462,-5.720761999999998,-1.0957619999999997,-9.863461999999998,-12.313562000000001,17.195138,1.8588380000000002,-8.696062,-14.278462,3.6641379999999977,-3.904462000000001,4.834337999999998,6.165237999999999,-4.628462000000001,17.023438,8.224637999999999,1.1865380000000014,-9.735862000000001,11.202938000000001,-9.837662000000002,-21.680262,-6.831061999999999,-5.6960619999999995
2020-04-21,-1.2192399999999988,2.8619600000000016,-1.7490400000000004,-7.0076399999999985,2.7292600000000005,9.619359999999999,-9.637239999999998,-5.193039999999998,-2.12454,-4.384539999999999,8.68666,13.09316,-4.185239999999998,31.34336,17.312359999999998,-12.881539999999998,1.02046,-14.076039999999999,-0.7923399999999998,24.69706,-4.320039999999996,-3.401539999999999,-0.13773999999999953,22.327059999999996,-10.22964,2.940159999999998,-4.88604,-5.786039999999998,7.631560000000006,-1.9879400000000014,-1.9998399999999996,-13.69604,13.938160000000007,-9.24144,-6.99954,10.883459999999996,-6.12094,-10.233639999999998,11.649460000000001,-16.381639999999997,-1.3247400000000003,0.2282600000000028,0.3147599999999998,10.543260000000002,-4.1760399999999995,-1.346239999999999,-0.6598399999999978,-2.784539999999999,5.922760000000002,-1.3159400000000003,2.8729600000000035,8.78346,-2.391140000000001,-11.37434,3.543660000000002,3.579060000000003,1.3558600000000007,-7.106239999999998,1.0561599999999998,-4.678740000000001,8.611859999999998,-1.562339999999999,2.15456,-15.613740000000002,-7.384040000000001,10.749460000000001,3.46536,-11.121940000000002,11.740460000000002,15.96056,-2.6959400000000007,-9.77794,2.77456,8.084760000000001,12.806860000000004,-2.542939999999998,3.8178600000000005,-7.018839999999999,-5.55224,-3.08254,-9.788739999999999,-18.575039999999998,9.566759999999999,1.8584600000000002,-11.594040000000001,-18.04494,-0.07323999999999917,-5.215540000000001,8.71976,8.47006,-5.31884,17.33446,13.55096,4.408560000000001,-12.67694,12.570960000000007,-8.001540000000002,-21.109639999999995,-4.845240000000001,-9.00134
