date,ST舍得,洋河股份,酒鬼酒,广誉远,*ST皇台,泸州老窖,水井坊,ST岩石,口子窖,古井贡酒,五粮液,青海春天,今世缘,迎驾贡酒,山西汾酒,顺鑫农业,青青稞酒,贵州茅台,金种子酒,老白干酒,伊力特
2020-04-21,-8.540113734090959,-6.983713734090959,3.19938626590904,-25.159913734090964,-16.35611373409096,-4.38591373409096,-3.80181373409096,9.15498626590904,-6.998413734090963,8.02508626590904,3.2490862659090407,-14.80901373409096,-2.028613734090961,-7.46591373409096,1.667286265909038,-2.9087137340909583,-15.519013734090962,0.3311862659090398,-15.55221373409096,-12.149013734090959,-13.409413734090958
2020-04-22,-7.467597221913585,-6.559497221913585,6.952202778086415,-25.972997221913587,-15.882597221913585,-5.812997221913585,-3.0206972219135846,7.518402778086414,-8.332497221913584,7.617002778086416,2.4069027780864145,-13.915697221913586,-5.531097221913584,-8.168797221913586,1.2841027780864145,-6.714597221913584,-15.942697221913585,0.8820027780864153,-16.295697221913585,-9.782697221913585,-12.276997221913584
2020-04-23,-9.346134967835738,-5.2807349678357385,3.888965032164261,-24.83073496783574,-13.50083496783574,-6.740834967835738,-5.3005349678357385,1.1229650321642612,-8.930134967835741,5.504365032164261,0.855765032164261,-13.88393496783574,-9.401434967835739,-6.664334967835738,-0.10853496783574057,-5.514734967835737,-15.196934967835741,1.6050650321642612,-15.882434967835739,-12.04433496783574,-12.349034967835737
2020-04-24,-5.595656955816904,-3.5049569558169056,1.2743430441830936,-29.673856955816902,-14.594556955816905,-7.750456955816904,-4.125956955816904,-7.481756955816907,-10.802856955816903,5.571743044183096,0.095043044183094,-17.109756955816906,-0.37655695581690374,-6.256956955816906,-2.4088569558169057,-6.0763569558169035,-15.753556955816906,1.7809430441830945,-14.827756955816904,-10.759056955816906,-12.988556955816904
2020-04-27,-3.71282898547741,-8.776628985477412,-2.474628985477414,-28.394728985477414,-14.116028985477413,-9.008028985477415,-8.791928985477412,-4.333228985477412,-17.639428985477416,3.8105710145225884,-0.12292898547741288,-15.988728985477412,-0.6386289854774132,-14.017828985477415,-4.425028985477414,-19.17112898547741,-16.464328985477415,3.300271014522587,-16.503728985477416,-13.629828985477413,-15.473628985477411
2020-04-28,-1.008910521881878,-6.69421052188188,-0.5584105218818807,-28.530410521881876,-17.113510521881878,-2.9628105218818797,-4.207810521881879,-12.99841052188188,-16.379110521881877,3.7412894781181207,3.854989478118119,-21.219810521881875,0.19298947811812,-13.244610521881881,5.0884894781181185,-23.906610521881877,-14.71521052188188,0.8734894781181197,-16.961910521881883,-13.409410521881881,-18.052410521881882
2020-04-29,-7.671850412621906,3.749849587378094,-1.5179504126219077,-23.665150412621905,-13.432350412621906,-5.834650412621906,-6.787150412621905,-9.761050412621906,-12.336750412621907,3.506449587378095,3.2783495873780923,-20.6515504126219,1.1652495873780933,-12.338850412621905,1.0898495873780902,-26.213950412621905,-14.607250412621907,0.5858495873780931,-17.043150412621905,-13.201350412621908,-18.279950412621904
2020-04-30,-6.814320458812391,3.085779541187609,0.5258795411876085,-18.841620458812386,-13.78812045881239,-6.347220458812391,-7.071120458812389,-12.836020458812394,-11.619920458812391,4.185179541187611,3.2954795411876083,-17.26802045881239,3.1548795411876105,-12.383620458812393,4.014979541187606,-21.52032045881239,-12.231220458812391,0.2285795411876087,-14.068120458812391,-11.449320458812391,-15.935820458812389
2020-05-06,-6.735666529530359,4.530933470469641,3.7225334704696404,-17.596066529530354,-13.01386652953036,-6.305066529530358,-7.4036665295303585,-16.000966529530363,-12.163266529530361,4.0528334704696425,3.9626334704696404,-16.91246652953036,4.2198334704696405,-11.91776652953036,3.100533470469637,-23.11856652953036,-12.12366652953036,-0.09496652953035911,-13.48906652953036,-11.156566529530359,-13.48746652953036
2020-05-07,-6.448168792055377,1.6886312079446244,7.563631207944622,-16.227068792055373,-14.567668792055375,-6.319168792055375,-10.106468792055376,-19.14126879205538,-11.410568792055374,5.013431207944624,4.804331207944624,-18.476668792055374,4.542731207944623,-8.100368792055377,4.0960312079446215,-22.984268792055374,-12.036568792055375,-0.2706687920553761,-10.891468792055376,-10.170368792055378,-11.457268792055375
2020-05-08,-5.943704589385544,1.6496954106144575,6.576095410614454,-17.359604589385544,-12.492904589385548,-5.186704589385544,-9.935304589385543,-16.768504589385543,-9.481804589385542,7.618495410614456,1.9435954106144555,-18.130604589385545,8.059295410614457,-8.496504589385546,5.470795410614453,-22.020604589385538,-11.411304589385544,0.23429541061445602,-12.360904589385544,-10.350004589385545,-8.318804589385543
2020-05-11,-5.406511204856792,0.44368879514320847,6.284588795143207,-19.782611204856792,-12.687111204856791,-3.802611204856792,-11.022611204856792,-22.258811204856798,-7.869211204856789,12.800388795143208,0.09628879514320698,-18.111611204856793,10.804488795143207,-7.999611204856793,2.885188795143206,-21.60441120485679,-12.68371120485679,0.6954887951432076,-12.74971120485679,-11.006811204856794,-3.3462112048567922
2020-05-12,-6.5788818440881816,-2.377881844088179,6.483718155911819,-20.83198184408818,-13.248981844088181,-3.0723818440881794,-12.65918184408818,-31.877781844088183,-10.15518184408818,11.67301815591182,0.5141181559118195,-19.32818184408818,8.218218155911819,-8.269581844088183,4.753318155911818,-26.760181844088176,-15.078681844088178,0.9973181559118202,-13.699881844088182,-11.342781844088181,-3.6106818440881785
2020-05-13,-4.339014708071209,-5.370914708071208,10.85788529192879,-17.94031470807121,-13.648414708071211,1.270385291928792,-7.275414708071209,-38.721214708071216,-7.899014708071207,11.46748529192879,1.0518852919287902,-17.767614708071207,8.842285291928793,-2.86891470807121,10.059485291928791,-27.331314708071208,-11.58791470807121,0.25808529192879104,-10.413014708071211,-8.263114708071212,-1.8200147080712081
2020-05-14,2.0541221673360024,-6.158377832663996,11.581422167336001,-21.380877832663995,-13.507977832664,-1.2247778326639958,-4.376677832663998,-33.823577832664,-3.1895778326639936,11.612622167336006,2.599222167336003,-29.124677832663995,8.530022167336003,-5.155477832663998,9.501922167336,-27.820977832663992,-8.759777832663996,-0.07027783266399651,-9.682077832663998,-5.473977832663999,-0.2917778326639963
2020-05-15,1.0186176943175145,-5.488482305682485,12.986717694317514,-20.830882305682486,-10.560582305682487,1.1164176943175157,-4.320282305682484,-29.741182305682486,-1.8842823056824831,10.178117694317518,2.0484176943175147,-23.20228230568248,10.368617694317516,-4.532282305682486,8.571017694317511,-29.453182305682482,-8.285282305682486,-0.10888230568248519,-8.855482305682486,-5.353082305682487,-0.0007823056824844965
2020-05-18,3.5073239660624864,-2.2381760339375116,11.373323966062488,-24.41007603393751,-13.374976033937514,0.21142396606248848,-3.2550760339375127,-33.45937603393752,-0.004376033937512069,5.195023966062488,3.7654239660624866,-24.80697603393751,11.293823966062483,-4.066876033937514,9.356123966062484,-30.84287603393751,-7.991176033937513,-0.7736760339375127,-8.941476033937514,-5.958976033937514,0.7588239660624885
2020-05-19,3.8975527292894565,1.562452729289455,14.446852729289457,-23.496147270710544,-13.867147270710543,1.1164527292894564,-0.5200472707105436,-32.670447270710554,1.087752729289458,6.43495272928946,4.8404527292894555,-23.003747270710544,15.685952729289456,-3.441447270710545,10.305052729289455,-28.91094727071054,-8.158947270710545,-1.903747270710544,-10.402647270710544,-6.932247270710546,-0.9097472707105427
2020-05-20,3.7333383573253043,1.9611383573253038,9.516838357325302,-14.563461642674692,-11.707761642674697,0.3604383573253036,-0.9729616426746958,-31.458161642674693,-1.1275616426746955,8.156638357325306,4.466438357325303,-20.053561642674694,14.516138357325302,-4.426361642674698,10.269538357325303,-27.931261642674695,-7.754261642674697,-1.7952616426746961,-10.165361642674696,-7.500761642674698,-1.137861642674695
2020-05-21,2.0091736100774287,-0.5143263899225718,15.553073610077426,-5.078826389922568,-12.307826389922571,-0.10982638992257021,-3.6302263899225706,-35.692826389922566,-3.3945263899225697,7.817773610077431,4.036173610077429,-20.597126389922572,12.07297361007743,-4.343426389922573,10.441973610077428,-25.508426389922572,-6.441526389922572,-1.383626389922571,-9.395426389922571,-5.684226389922572,-1.3306263899225697
2020-05-22,1.8588314610049523,-0.5514685389950473,16.102631461004954,2.872931461004958,-11.261968538995047,1.1386314610049517,-2.9652685389950486,-33.39156853899504,-2.6405685389950464,8.000331461004953,2.3798314610049514,-16.12956853899505,12.598331461004951,-8.08776853899505,9.70463146100495,-26.29836853899505,-9.571068538995048,-0.8876685389950485,-10.060168538995049,-7.58366853899505,-0.749968538995047
2020-05-25,1.332890863437433,2.8394908634374327,13.721890863437434,0.5102908634374366,-10.292909136562564,-0.47210913656256714,-3.8215091365625677,-32.06250913656256,-3.544309136562565,7.410490863437438,2.247690863437433,-15.985409136562566,11.795690863437434,-7.227209136562569,11.088490863437432,-25.677409136562574,-8.944509136562566,-1.0143091365625672,-8.507809136562567,-9.18270913656257,-1.4905091365625662
2020-05-26,3.8732260102843217,4.621326010284322,15.714426010284322,-0.07057398971567574,-9.952373989715676,-0.054473989715679294,-1.4860739897156798,-27.884273989715677,1.8791260102843226,5.120626010284323,2.5124260102843206,-14.325173989715678,15.809926010284318,-6.07947398971568,12.673526010284318,-22.004973989715683,-7.845973989715678,-1.6567739897156795,-7.972373989715679,-6.625173989715681,-0.4600739897156785
2020-05-27,1.72315272167594,6.17045272167594,18.348052721675938,10.723952721675943,-8.393347278324056,-0.06984727832405924,-2.7574472783240607,-21.49414727832406,-0.1283472783240578,0.2160527216759418,2.71865272167594,-8.682647278324058,4.430152721675942,-6.78634727832406,12.80765272167594,-22.683847278324063,-3.172047278324058,-1.4347472783240596,-5.847047278324059,-5.43054727832406,1.5133527216759413
