,name,corr_score,ret_score,score,rank
108,华仁药业,0.3683317974248362,0.8630863764137542,0.5536641287472476,41
109,向日葵,0.3048952719215856,0.6419673361183249,0.4181061635981679,76
110,瑞普生物,0.7526905020290702,0.4194965406965418,0.56901168469621,33
111,智飞生物,0.5897335418001869,0.8330260562392908,0.7570565898234589,7
112,沃森生物,0.5682035508491783,0.2248675210287561,0.3127128235709906,94
113,上证民营企业红利指数,0.2770529780914883,0.8229022205360592,0.4556774758362846,65
114,广誉远,0.4184261463577498,0.4945779165525556,0.4294939132773493,73
115,*ST辅仁,0.07772232393660318,0.9048635863986436,0.2728284684278597,104
116,鲁抗医药,0.5521112020134397,0.7734461961299924,0.6980727130252672,14
117,华北制药,0.7905723021046053,0.4174469807667355,0.5809458982741839,28
118,海欣股份,0.4945231140359031,0.6773040981349621,0.6003004691310398,26
119,通化东宝,0.5085212906706094,0.6966329622972877,0.6224336563747827,24
120,仟源医药,0.032569213140706016,0.752058136047456,0.20130210010060867,115
121,常山药业,0.40575793210221023,0.2429326120479404,0.23756835818849142,108
122,尔康制药,0.17915720423799558,0.8889371670064316,0.37167769061376776,81
123,利德曼,0.24999688385146085,0.9342188477485296,0.4471176491482548,67
124,博雅生物,0.055622401309553794,0.5895989229789393,0.17030194089316653,121
125,香雪制药,0.310871130626162,0.7445056060985183,0.46503334502880356,63
126,振东制药,0.4124355170868755,0.3757827002568091,0.34274901056945506,85
127,佐力药业,0.1076792875873304,0.814269261813802,0.2885549051600286,99
128,福安药业,0.3887377189745941,0.3208139780397597,0.28625209787898365,100
129,翰宇药业,0.1991777499868917,0.7262559858421285,0.3536832381411068,83
130,舒泰神,0.2262786860065501,0.3875931253370984,0.21324427953918923,111
131,金城医药,0.8412091195290843,0.02179548994922676,0.20899111648562807,112
