,name,score,normal_score,rank,prob,prob_flag,prob_sigma
46,全志科技,6733,0.9160472234368168,30,0.2568756725873585,False,0.4
47,乾照光电,5843,0.7863285235388427,64,0.9012792081553076,True,0.4
48,海伦哲,4144,0.5386969829470922,118,0.3404767190915653,False,0.4
49,智光电气,6493,0.8810668998688238,36,0.5712679031754844,True,0.4
50,上海贝岭,7063,0.9641451683428072,10,0.3791165227390873,False,0.4
51,北方华创,6978,0.9517563037458097,19,0.20863924405948095,False,0.4
52,四维图新,5764,0.774814167031045,71,0.5099444660946801,True,0.4
53,亚翔集成,5810,0.7815187290482437,69,0.3687284666551587,False,0.4
54,士兰微,7193,0.9830928436088033,4,0.760951959391897,True,0.4
55,聚灿光电,6383,0.865034251566827,41,0.9016078714036048,True,0.4
56,光弘科技,6635,0.9017635913132196,32,0.3312997314175212,False,0.4
57,汉威科技,4897,0.6484477481416703,107,0.23206228984785554,False,0.4
58,*ST大港,4900,0.6488850021862702,105,0.8506468095791708,True,0.4
59,证通电子,5459,0.7303600058300539,85,0.2273266442744569,False,0.4
60,扬杰科技,6952,0.9479667686926104,20,0.9453174135391244,True,0.4
61,通富微电,6783,0.9233347908468154,28,0.6606213510391769,True,0.4
62,天龙股份,5009,0.6647718991400671,103,0.2020345933879364,False,0.4
63,中微公司,6834,0.9307681096050139,26,0.5183557167481759,True,0.4
64,翠微股份,2328,0.2740125346159452,132,0.3748827309645252,False,0.4
65,澜起科技,7121,0.9725987465384055,5,0.6884733908525206,True,0.4
66,中科曙光,6896,0.9398046931934121,24,0.006626089577725953,False,0.4
67,苏州固锝,6911,0.9419909634164116,22,0.4759841749926828,True,0.4
68,晶方科技,6108,0.824952630811835,55,0.23201617246181516,False,0.4
69,航锦科技,5659,0.7595102754700481,74,0.17117359732705045,False,0.4
70,怡达股份,4866,0.6439294563474712,109,0.8121536883294174,True,0.4
71,国科微,7069,0.965019676432007,9,0.7185477820852387,True,0.4
72,华胜天成,6214,0.8404022737210319,52,0.4520618296274099,True,0.4
73,博通集成,6893,0.9393674391488122,25,0.5506314571844385,True,0.4
74,鼎信通讯,6096,0.8232036146334354,56,0.5529991840196522,True,0.4
75,*ST北能,2998,0.3716659379099257,128,0.649413318635251,True,0.4
76,恒实科技,6833,0.9306223582568138,27,0.7161613912677401,True,0.4
77,格力电器,4156,0.540445999125492,117,0.7784089480683719,True,0.4
78,圣邦股份,4648,0.6121556624398776,111,0.7575598475493238,True,0.4
79,荣联科技,4049,0.524850604868095,120,0.32449377465515244,False,0.4
80,大恒科技,5744,0.7718991400670456,72,0.5910008640443144,True,0.4
81,奥普光电,5288,0.7054365252878589,96,0.6856011387530102,True,0.4
82,*ST华讯,2880,0.3544672788223291,130,0.7065624400234004,True,0.4
83,韦尔股份,6753,0.9189622504008162,29,0.8275855566647236,True,0.4
84,波导股份,4002,0.5180002915026964,121,0.3853522072469398,False,0.4
85,瑞斯康达,6451,0.874945343244425,40,0.3195010631726729,False,0.4
86,明阳智能,4784,0.6319778457950737,110,0.9261259974018512,True,0.4
87,欧比特,5552,0.7439148812126513,83,0.3139212507996019,False,0.4
88,南洋股份,5214,0.6946509255210611,99,0.7910434328246123,True,0.4
89,劲嘉股份,4000,0.5177087888062964,122,0.4095044006420287,True,0.4
90,兆易创新,6934,0.9453432444250109,21,0.3446066219499589,False,0.4
91,华天科技,6998,0.954671330709809,16,0.2605772482506241,False,0.4
92,华灿光电,5842,0.7861827721906428,65,0.2983584972365512,False,0.4
93,北京君正,7204,0.984696108439003,3,0.2920493142360174,False,0.4
94,华微电子,6477,0.8787348782976242,37,0.6477545014362479,True,0.4
95,腾信股份,4600,0.6051595977262789,112,0.7623502439654496,True,0.4
96,卓胜微,6378,0.8643054948258272,42,0.6224357055705656,True,0.4
97,*ST盈方,448,0.0,136,0.7958219239370055,True,0.4
98,*ST德豪,1828,0.2011368605159598,133,0.6666228370551863,True,0.4
99,海特高新,6241,0.8443375601224311,51,0.8208925666814383,True,0.4
100,博威合金,5382,0.7191371520186561,89,0.7112098825498872,True,0.4
101,乐鑫科技,6168,0.8336977117038332,54,0.7873665182282963,True,0.4
102,长电科技,7273,0.994752951464801,2,0.5505824251998419,True,0.4
103,上海新阳,7083,0.9670601953068065,8,0.3214139324844606,False,0.4
104,中化岩土,5308,0.7083515522518583,94,0.5456380617991878,True,0.4
105,晓程科技,5898,0.7943448476898411,63,0.8526460873557703,True,0.4
106,大唐电信,6460,0.8762571053782248,39,0.24420687093254825,False,0.4
107,金信诺,4885,0.6466987319632707,108,0.8116274902130469,True,0.4
108,光力科技,5301,0.7073312928144585,95,0.4075949360501964,True,0.4
109,吉视传媒,5309,0.7084973036000582,93,0.5868390595366245,True,0.4
110,张江高科,3574,0.4556187144731089,126,0.21322554193605,False,0.4
111,华力创通,3332,0.4203468882087159,127,0.05982279618597507,False,0.4
112,卫士通,5562,0.7453723946946509,80,0.3610536391009621,False,0.4
113,亨通光电,6259,0.8469610843900306,49,0.5283607982591965,True,0.4
114,嘉欣丝绸,5055,0.6714764611572657,102,0.4691339728582811,True,0.4
115,淳中科技,6299,0.8527911383180294,45,0.28958575937038106,False,0.4
116,华西股份,3620,0.4623232764903075,125,0.26624448395505684,False,0.4
117,友讯达,6189,0.8367584900160326,53,0.5746008290107678,True,0.4
118,合众思壮,4159,0.5408832531700918,116,0.5324902965215861,True,0.4
119,天和防务,5417,0.7242384492056552,88,0.4042386720266611,True,0.4
120,*ST高升,1298,0.1238886459699752,135,0.3631624384046386,False,0.4
121,综艺股份,5915,0.7968226206092406,62,0.4675369101732788,True,0.4
122,三安光电,7309,1.0,1,0.5059428869386413,True,0.4
123,传艺科技,5334,0.7121410873050575,90,0.535086884706158,True,0.4
124,宏达电子,5838,0.7855997667978429,67,0.6431280178152279,True,0.4
125,ST瑞德,1453,0.1464801049409707,134,0.5271445016547301,True,0.4
126,三泰控股,3698,0.4736918816499053,124,0.6424287000227094,True,0.4
127,振芯科技,4587,0.6032648301996794,113,0.4965798515587582,True,0.4
128,兆驰股份,6264,0.8476898411310304,48,0.042592967609183977,False,0.4
129,中海达,5112,0.6797842880046641,101,0.5178013042244703,True,0.4
130,光库科技,5841,0.7860370208424428,66,0.2745273559867252,False,0.4
131,捷捷微电,7035,0.9600641305932079,11,0.97645591660732,True,0.4
132,光迅科技,5824,0.7835592479230433,68,0.742970116725446,True,0.4
133,台基股份,6997,0.9545255793616091,17,0.8060686306784424,True,0.4
134,富满电子,5437,0.7271534761696545,86,0.060134684943688975,False,0.4
135,亚光科技,5968,0.8045474420638391,60,0.1952376312946256,False,0.4
